39|384.13|0.16|40.63
0.7|4370.54|1.48|107.57
8.8|4912.25|3.17|14.62
54|4242.36|1.3|15.92
1.5|15786.17|5.63|193.98
1.6|8992.59|4.68|14.76
8.6|3919.98|1.87|104.5
0.3|49628.12|18.16|2.77
0.6|51386.38|8.29|100.77
2.4|5574.6|4.05|106.06
1.2|23657.37|4.29|34.82
0.7|23043.03|26.54|1468.13
56|618.08|0.33|1138.91
0.4|16570.56|5.84|644.92
10|6376.17|6.62|46.96
0.7|48424.58|9.75|353.7
5.1|4473.42|1.26|13.42
11|794.87|0.49|79.58
18|1810.58|0.61|18.23
3.7|1736.93|1.38|8.86
5.6|4974.66|5.25|75
25|5561.9|2.29|3.47
3.2|8706.82|1.99|23.3
2.5|37798.39|23.95|72.26
3.2|7296.12|6.77|68.99
11|567.73|0.13|53.76
28|182.69|0.02|343.53
31|3698.31|0.35|60.57
6.4|742.94|0.64|120.06
83|1191.71|0.28|78.94
43|46596.34|0.28|41.4
0.4|463.83|16.22|3.66
73|929.28|0.06|6.87
25|10791.02|0.05|8.85
2.9|3471.25|4.32|22.39
4.5|5433.71|5.42|141.1
2.7|786.18|1.52|40.47
6.6|3094.11|0.18|357.56
49|6911.14|0.34|11.22
1.5|15893.86|1.84|86.75
2.4|5385.74|5.13|79.24
0.4|35390.7|2.7|106.07
0.2|22649.38|7.96|116.56
0.5|310.73|11.24|134.43
57|64181.99|0.03|27.26
0.3|1234.01|8.54|129.47
56|6464.22|0.62|34.93
5.8|5011.05|1.86|94.51
2.9|4274.94|2.22|199.47
5.9|2061.61|2.34|58.17
1|3569.34|2.51|79.34
1.6|28780.58|1.09|289.78
8.2|18094.55|6.56|24.46
4.2|325.79|13.08|31.54
50|4178.32|0.08|83.08
3.1|53401.31|0.6|46.15
1.1|45413.07|10.64|17.48
1.1|10523.27|5.69|117.57
70|608.65|2.83|5.72
21|3174.95|0.26|156.79
4.3|45699.2|1.28|70.51
0.5|1234.08|9.51|235.52
49|31997.28|0.4|101.59
0.8|7946.64|8.66|85.94
1|2774.37|2.43|305.69
2.8|433.07|0.81|131.64
38|553.48|0.21|42.44
61|2569.99|0.15|55.52
15|674.75|2.08|3.8
36|1899.55|0.25|352.15
1.5|15669.26|1.19|64.88
1.9|55229.61|5.46|112.02
0.7|991.52|6.68|3.17
44|2167.86|1.31|402.62
46|5476.16|1.77|129.92
1.8|4512.99|8.02|44.53
2.8|61235.4|3.19|66.68
0.7|29657.44|9.58|65.17
0.4|40640.18|9.34|337.74
0.7|1257.68|7.6|200
0.4|5119.34|3.82|250.91
3.1|39339.3|9.45|351.34
0.7|3655.86|3.55|68.11
19|8513.56|11.88|5.81
20|938.57|0.27|67.2
21|1413.35|0.56|121.53
1|54484.3|30.58|151.81
12|966.39|1.44|27.73
73|900.5|0.16|26.19
5.8|16348.53|3.63|35.01
1.1|7015.61|4.19|401.7
66|231.44|0.15|38.13
11|14961.57|4.69|51.03
0.4|112851.46|22.39|188.67
58|472.38|0.09|34.27
