41|280.25|0.07|38.57
0.3|3005.01|1.3|109.22
8.3|3467.54|3|14.17
39|2253.84|1.2|14.87
1.4|13599.91|5.1|189.7
1.9|5904.68|4.43|14.45
8.7|2126.62|1.46|105.45
0.3|36084.86|17.65|2.69
0.7|40430.99|8.73|100.13
7.4|2473.09|4.62|102.67
0.6|23721.16|4.96|33.55
0.5|19669.32|20.01|1271.36
56|495.85|0.3|1112.69
0.8|15646|4.99|639.63
11|3848.59|6.46|47.34
0.6|38852.37|10.15|348.35
5.6|4187.32|1.49|12.75
12|609.02|0.46|74.88
18|1346.09|0.59|17.5
4.1|1233.59|1.62|8.57
6.5|3351.96|4.58|74.97
33|5342.14|2.18|3.34
3.3|5808.34|1.82|22.82
2.8|31157.69|13.21|69.86
3.6|4455.69|6.36|69.97
11|422.42|0.1|50.56
34|154.92|0.02|320.02
43|2316.48|0.38|58.13
7.9|537.85|0.78|118.68
101|965.37|0.22|76.62
48|40386.7|0.21|39.34
0.4|353.89|16.51|3.58
91|712.05|0.06|6.62
26|9500.84|0.04|8.28
3.7|2099.23|3.98|21.9
5.3|3709.08|4.89|139.65
2.6|640.74|1.44|39.51
8.1|2144.83|0.18|340.58
51|5245.19|0.31|10.56
1.5|11363.42|1.65|84.39
3.3|4677.71|5.12|79.34
0.4|27169.99|2.43|105.94
0.2|15159.14|7.43|113.45
0.6|246.8|11.93|132.54
57|52041|0.03|25.55
0.4|974.56|10.11|128.15
45|5522.29|0.52|34.04
1.4|3836.47|1.61|94.25
3.6|3350.78|2.11|193.98
7.2|1409.18|2.07|56.24
1|3108.59|2.34|76.62
1.2|15620.64|1.15|288.01
8.1|12595.41|7.37|23.02
5.1|194.08|12.01|31.77
64|3750.03|0.07|78.74
3.2|41120.68|1.64|45.29
1.1|36544.51|12.57|17.32
1.3|7206.97|5.9|116.19
106|440.31|2.96|5.47
28|1872.68|0.23|147.01
4.1|36447.87|1.49|72.36
0.6|929.73|9.91|236.23
53|24801.16|0.43|96.47
0.8|6764.72|8.83|85.5
1|2241|2.24|303.7
2.9|296.17|0.94|125.89
44|395.98|0.12|40.28
60|1961.06|0.14|53.15
17|505.47|1.74|3.78
41|1547.26|0.22|341.42
3.3|11398.77|1|62.62
1.9|56097.12|5.7|112.39
0.7|816.73|7.57|3.03
48|1590.18|1.12|390.86
48|3646.84|1.51|126.56
1.8|2350.19|7.18|43.54
3.1|54326.1|3.56|63.37
1|21905.02|10.1|62.03
0.5|33410.75|8.86|325.96
0.7|962.92|8.07|197.67
0.4|4487.5|4.33|248.52
3.3|35433.99|9.63|350.77
0.8|2722.67|3.82|62.67
23|5291.58|12.58|5.67
16|711.72|0.26|63.76
24|1151.59|0.74|116.37
1.1|42498.74|30.87|134.09
17|543.11|1.02|27.21
81|591.36|0.27|25.3
8.9|9667.98|3.61|35.67
0.8|5372.48|3.56|396.58
63|178.45|0.22|35.14
11|9240.64|4.33|52.17
0.2|88680.24|24.01|182.49
59|292.99|0.09|32.37
21|304.9|0.07|139.08
6.4|6194.67|6.39|79.94
2.1|4428.52|2.28|1110
12|518.39|0.07|10.91
0.3|16671.57|6.35|1266.59
37|2758.38|1.76|289.33
34|937.98|0.5|3.15
0.7|5695.97|2.94|607.88
2.5|8666.34|4|57.3
14|2393.94|1.18|150.97
27|950.65|1.39|124.8
11|1334.41|3.67|1.65
85|2204.26|1.55|68.77
67|382.38|0.09|27.64
40|288|0.26|77.06
19|3884.65|1.13|2.49
0.5|350.61|0.1|179.94
0.5|44453.97|10.22|484.19
4.6|26670.86|7.99|15.89
30|1245.14|0.82|45.29
92|260.56|0.05|11.05
0.9|1014.73|0.69|157.36
0.9|74114.7|9.5|12.76
59|14575.16|15.51|8.25
5.7|876.95|0.93|203.05
5.5|9729.16|10.08|43.5
89|5369.58|2.18|45.45
4.5|886.42|0.69|13.77
8.6|1809.71|0.68|14.81
31|3171.5|1.25|21.84
2.1|1395.21|0.77|293.77
3|9040.77|8.36|124.51
0.3|19821.44|5.68|115.04
7.3|61593.67|64.22|85.14
17|5828.75|9.73|92.15
8.1|6920.19|4.88|8.73
21|336.94|11.67|374.18
4.6|12767.9|0.06|191.61
4.2|6410.2|4.71|274.85
2|5608.2|2.19|279.25
2.8|2793.54|2.02|63.98
1.3|858.59|0.97|163.11
4.7|14826.92|0.54|11.82
3.3|808.29|17.02|60.14
23|12014.4|0.41|183.91
1.2|359.53|8.67|72.64
67|33579.86|0.14|6342.02
1.7|13139.03|7|111.71
0.9|19726.13|7.28|99.65
0.9|950.05|8.1|17.17
11|5668.39|0.34|39.76
58|20917.03|9.35|499.3
0.9|28482.61|7.88|88.98
6|1448.76|0.61|311.27
21|868.32|0.29|17.36
1.5|5295.62|3.67|3.18
48|2843.87|0.91|65.01
0.7|46256.47|5.46|22.13
0.5|57348.93|5.59|189.39
13|407.25|0.38|49.65
85|475.91|0.15|45.45
17|3351.12|3.85|129.53
3.1|3351.3|5.34|80.51
72|464.84|0.18|67.81
8|384.29|0.21|105.39
1.7|2897.71|1.26|140.98
3.4|14096|35.63|254.02
2.8|3394.43|2.27|65.63
1|7727.27|3.81|89.27
33|2140.46|10.31|10.22
27|342.84|0.09|145.14
23|2303.02|6.98|80.76
1|42950.1|23.95|61.86
0.8|44016.73|8.9|251.51
0.2|46437.07|19.12|32.57
1.3|5877.88|2|19.03
10|654.28|4.36|62.27
10|2047.09|0.22|17.61
2.5|6740.24|6.23|30.86
26|796.67|1.23|268.69
15|904.61|0.99|39.95
31|1030.32|0.17|16.66
25|414.68|0.8|33.94
