42|690.84|0.69|45.53
0.2|4247.84|1.62|105.85
8|5583.62|3.47|15.72
51|5086.85|1.47|18.2
1.4|13525.62|5.89|202.43
1.5|13040.31|4.57|15.38
6|3565.52|1.91|104.61
0.2|67646.1|16.52|2.96
0.5|48333.57|7.38|102.11
0.7|7393.77|3.82|112.46
0.3|22554.52|5.15|37.2
0.4|23057.77|21.81|1731.92
53|858.93|0.43|1192.73
0.4|15385.12|5.22|654.84
7.9|6721.83|6.68|46.64
0.5|44740.58|8.28|367.51
2.1|4674.29|1.43|14.76
10|811.22|0.55|89.13
19|2452.15|1.1|19.51
3.4|2645.29|1.84|9.45
4.6|4494.64|5.81|74.77
25|6885.84|2.09|3.76
2.7|12157.31|2.32|24.22
4.1|46973.94|23.8|76.95
2.4|7378.03|6.14|67.3
9.6|673.06|0.16|60.64
24|244.2|0.03|394.26
23|3497.69|0.4|66.36
3.8|946.48|0.99|124.29
64|1222.19|0.37|84.03
36|52495.29|0.28|45.82
0.3|472.82|13.86|3.82
48|972.68|0.06|7.42
21|15253.33|0.04|10.1
2.8|6337.88|4.66|23.39
3.3|7885.06|7.42|143.87
2.1|778.11|1.7|42.25
7.9|3191.16|0.2|394.23
37|9985.31|0.56|12.55
1.2|13235.98|1.67|91.15
1.4|6448.16|4.26|76.26
0.4|28951.16|3.19|106.55
0.4|19729.87|6.13|122.22
0.3|390.71|9.61|136.1
64|58125.36|0.04|31.01
0.4|1586.78|6.51|132.41
50|6778.34|0.61|36.8
5.8|5968.83|1.89|95.58
6|5702.17|2.24|210.21
3.8|3226.13|2.62|62.09
0.7|3921.72|2.53|86.05
1.6|28937.3|1.19|293.06
7.5|17421.89|7.54|27.58
2.7|469.79|13.32|31.2
34|4543.82|0.09|92.19
4.2|47415.56|1.82|47.85
0.9|40838.02|9.02|17.82
0.9|10642.43|5.07|119.91
55|504.99|2.84|6.26
20|4142.87|0.26|178.57
6.6|44065.25|1.92|66.92
0.5|1641.83|9.19|230.75
39|22242.68|0.46|112.26
1|7583.55|7.24|85.69
1|3278.63|2.57|310.22
1.8|487.35|0.78|143.42
29|580.64|0.22|47.33
72|3759.38|0.15|60.98
17|766.87|2.63|3.85
22|2378.52|0.23|373.32
1.2|12834.32|1.16|69.14
1.3|44258.84|4.49|109.58
3|1447.45|5.83|3.2
38|3700.52|1.6|424.99
42|7710.51|2.42|136.92
1.9|6614.58|8.45|46.76
2.4|49231.36|4.64|75.88
0.6|32569.6|7.79|66.58
0.3|34814.12|9.55|365.55
0.6|1281.38|6.21|202.42
0.2|5466.58|2.71|255.12
2.8|48629.2|9.64|349.91
0.3|4423.12|3.55|78.78
11|12387.19|14.57|6.22
18|1184.92|0.29|74.75
20|1763.7|0.58|131.63
0.8|50903.9|29.58|191.9
11|1177.97|1.8|29.23
60|1445.42|0.33|28.05
3.1|13799.24|3.47|32.72
0.6|8773.93|4.6|481.35
47|414.19|0.25|43.5
8.6|14342.52|4.63|47.67
0.2|105447.09|20.08|205
52|444.96|0.12|38.32
19|380.92|0.07|166.53
7.5|10834.66|7.54|88.33
4.1|6541.07|2.8|1283.33
12|772.25|0.06|13.2
0.2|22081.6|6.36|1310.8
38|3513.96|1.95|292.57
21|1385|0.7|3.66
1.3|9291.23|3.24|618.66
2|9720.56|3.94|62.8
19|3147.68|1.38|147.88
20|2046.54|1.38|124.04
8.4|4377.24|11.65|1.81
68|2931.4|1.9|73.91
49|564.81|0.12|32.72
32|1136.79|0.25|80.45
17|5679.88|1.47|2.78
0.2|698.41|0.21|191.84
0.2|49474.71|10.11|496.88
3.5|40066.56|7.83|16.74
19|1776.21|0.8|48.84
94|393.64|0.11|13.92
0.4|2739.85|0.59|184.72
0.8|101563.7|9.94|13.74
28|21631.89|16.7|11.45
1.8|1264.9|0.92|230.12
5.8|10319.91|10.78|45.12
61|10672.36|2.69|50.36
3.8|2151.21|0.7|15.8
7.1|3855.57|0.82|16.06
23|6386.37|1.81|23.56
1.8|2604.66|0.95|322.02
2.2|13145.1|7.88|124.3
0.4|20577.4|4.38|114.8
6.1|92692.64|46.7|173.61
12|8558.4|11.68|87.2
6.3|15042.19|4.07|8.74
13|667.41|12.82|438.48
7.4|13689.89|0.07|206.35
2.4|7180.14|5.19|296.54
0.7|6337.77|2.25|280.34
3.8|4257.31|2.31|66.75
1.1|1415.03|1.34|185.92
12|24883.19|0.64|13.72
2.5|1030.04|19.19|71.57
21|12845.17|0.57|191.96
0|629.12|7.97|83.72
43|54451.21|0.17|7524.7
1.5|17274.64|10.28|112.45
0.3|22486.47|6.06|102.14
0.8|1866.71|7.26|19.62
9|7570.09|0.36|43.28
50|24453.97|9.02|513.66
0.7|28647.84|5.66|93.51
5.9|3350.69|0.79|325.71
23|1806.45|0.3|20.49
2.5|9422.27|4.75|3.39
55|3952.66|0.98|71.61
0.4|57134.08|4.94|23.37
0.3|83164.39|4.72|202.37
3.7|962.44|0.39|56.67
68|827.53|0.2|54.92
12|5915.22|4.54|131.46
1.5|4709.51|4.33|82.05
75|1125.37|0.26|74.11
9.9|573.21|0.32|124.02
1|4509.36|1.72|145.51
1.9|19152.18|33.82|261.52
2.1|4179.46|2.51|70.04
1.1|10539.37|4.4|97.25
9.5|6797.72|12.56|11.01
13|664.01|0.12|176.54
16|3855.42|6.49|78.7
0.5|41712.4|19.25|107.09
0.5|41538.31|7.33|263.3
0.2|51433.05|16.29|34.34
1.4|15092.47|2.56|19.41
13|1740.47|3.89|69.99
7.6|3158.42|0.46|20.3
2.2|12771.6|6.65|33.85
20|1754.55|1.78|286.42
4.9|1422.72|0.74|47.13
33|1724.76|0.24|19.89
15|850.83|0.89|37.65
