41|569.94|0.3|42.83
0.2|4094.36|1.58|106.31
8.5|4473.49|3.31|15.13
58|3886.48|1.37|17.02
1.5|13017.31|6.01|198.26
1.4|10332.03|4.56|15.06
7.1|3124.78|1.42|104.09
0.3|51845.65|16.92|2.87
0.5|46659.84|8.11|101.29
1.2|5842.81|3.39|109.54
0.6|21920.52|6.83|36.05
0.8|20386.02|23.1|1655.27
56|760.33|0.4|1164.76
0.4|15906.19|5.29|650.15
9.2|5818.85|6.6|46.77
0.6|44382.82|9.89|359.83
4.1|4348.02|1.68|14.1
11|732.95|0.54|84.34
23|2201.29|0.68|18.9
3.7|1981.17|1.53|9.16
6.1|4475.09|5.55|74.91
30|6244|2.34|3.61
2.9|11121.42|2.11|23.76
3.7|34852.02|20.86|74.63
2.8|6843.26|5.97|68.12
10|575.01|0.13|57.13
23|214.23|0.02|368.42
29|3393.93|0.31|63.31
5.8|782.69|0.98|121.68
72|1147.24|0.35|81.37
42|47445.76|0.33|43.56
0.3|446.8|14.49|3.74
61|895.88|0.06|7.14
22|12785.05|0.04|9.45
3.2|4560.51|4.25|22.88
3.8|6250.65|6.55|142.49
2.2|759.26|1.66|41.39
7.3|2953.19|0.18|375.44
41|8199.43|0.47|11.91
1.1|13509.19|1.67|89.02
1.9|5688.67|4.63|78.95
0.4|30818.46|3.39|106.24
0.1|19763.96|6.98|119.45
0.4|311.25|10.65|135.61
57|57647.67|0.03|29.09
0.7|1358.46|8.41|130.75
61|6938.95|0.62|35.84
4.3|5451.07|1.96|94.89
6.4|4657.3|2.19|204.88
5|2668.04|2.55|60.13
0.7|3547.07|2.47|82.42
1.8|22366.29|1.05|291.42
7.5|14639.47|6.42|25.98
3.1|341.86|13.6|31.41
38|3651.96|0.08|87.56
3|46205.17|1.86|47.07
0.9|40705.77|11.54|17.65
1|9312.05|5.42|118.76
80|562.57|2.94|5.98
25|2964.48|0.28|167.29
5.5|41788.04|1.42|68.69
0.5|1323.1|9.28|234.61
41|26919.36|0.41|106.87
0.7|7365.67|7.51|86.28
1|2805.97|2.49|307.87
2.6|430.06|0.79|137.48
30|517.89|0.24|44.82
62|2998.94|0.15|58.12
20|662.28|2.28|3.83
33|2096.2|0.21|362.83
1.1|13025.79|1.06|67.06
1.5|41620.07|5.02|110.46
6.6|1345.72|6.17|3.17
40|3125.22|1.4|414.03
44|6299.92|1.77|133.37
1.9|4487.37|8.15|45.59
2.6|48541.48|3.63|71.07
0.8|30661.99|8.82|66.19
0.4|35851.51|9.04|352.29
0.6|1236.09|6.84|201.53
0.4|4902.67|2.7|253.12
3|44507.66|9.15|351.31
0.5|4054.27|3.25|73.42
13|9070.65|15.11|6.05
18|991.85|0.3|70.86
17|1493.22|0.61|126.73
1.3|37725.14|29.29|171.69
11|880.04|1.17|28.4
66|1138.53|0.26|27.13
4.3|11329.9|3.85|33.7
1.1|8763.8|4.62|423.96
55|326.6|0.2|41.09
7.2|11988.76|4.35|49.42
0.2|103267.28|21.64|195.73
54|414.14|0.09|36.25
14|471.06|0.08|156.66
6.4|9069.03|7.77|85.59
2.8|6330.79|2.45|1223.33
11|704.06|0.06|12.43
0.5|21087.79|6.1|1295.34
50|3142.43|1.96|291.27
27|1207.83|0.62|3.48
1|8000.38|3.13|615.96
2.2|8861.49|3.75|61.02
22|2838.45|1.17|148.03
23|1631.54|1.38|124.17
10|2650.35|9.09|1.75
61|2857.67|1.74|71.94
57|417.5|0.11|30.93
32|957.62|0.24|79.19
17|5143.13|1.41|2.66
0.3|595.43|0.19|187.48
0.4|50341.25|10.93|492.6
4.9|33692.17|7.3|16.52
21|1523.48|0.79|47.68
93|351.01|0.07|12.86
0.6|2314.96|0.58|175.04
0.8|87646.27|12.29|13.39
33|19920.65|17.11|9.51
