,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
"Egypt																",3264.45,3226.13,2816.67,2668.04,2349.29,2061.61,1681.31,1409.18,1196.73,1071.32
"El Salvador																",3998.74,3921.72,3821.34,3547.07,3431.28,3569.34,3358.42,3108.59,2874.26,2666.34
"Equatorial Guinea																",27528.66,28937.3,28404.43,22366.29,21251.06,28780.58,19633.16,15620.64,13129.6,7276.08
"Estonia																",19029.78,17421.89,17453.75,14639.47,14726.31,18094.55,16586.41,12595.41,10338.32,8850.47
"Ethiopia																",503.9,469.79,355.59,341.86,380.26,325.79,243.63,194.08,161.88,135.98
"Fiji																",4758.89,4543.82,4351.91,3651.96,3369.86,4178.32,4079.23,3750.03,3658.62,3332.91
"Finland																",49638.08,47415.56,50787.56,46205.17,47107.16,53401.31,48288.55,41120.68,38969.17,37636.11
"France																",42571.2,40838.02,43807.48,40705.77,41631.13,45413.07,41600.58,36544.51,34879.73,33874.74
"Gabon																",10658.77,10642.43,11530.15,9312.05,8003.79,10523.27,8632.76,7206.97,6865.32,5755.96
"Gambia																",484.11,504.99,516.98,562.57,549.54,608.65,519.95,440.31,433.29,414.98
"Georgia																",4274.38,4142.87,3725.06,2964.48,2706.59,3174.95,2492.13,1872.68,1530.06,1207.37
"Germany																",45688.39,44065.25,45936.08,41788.04,41732.71,45699.2,41814.82,36447.87,34696.62,34165.93
"Ghana																",1827.1,1641.83,1587.19,1323.1,1095.5,1234.08,1099.02,929.73,501.72,426.16
"Greece																",21874.82,22242.68,25914.68,26919.36,29710.97,31997.28,28827.33,24801.16,22551.74,21955.1
"Grenada																",7956.14,7583.55,7410.76,7365.67,7394.95,7946.64,7322.53,6764.72,6754.38,5836.12
"Guatemala																",3432.02,3278.63,3166.58,2805.97,2617.13,2774.37,2472.39,2241,2064.05,1860.99
"Guinea																",521.54,487.35,447.79,430.06,430.2,433.07,407.21,296.17,303.76,387.37
"Guinea-Bissau																",584.28,580.64,660.59,517.89,517.17,553.48,455.44,395.98,401.15,370.93
"Guyana																",3928.88,3759.38,3408.73,2998.94,2698.06,2569.99,2334.02,1961.06,1110.96,1058.96
"Haiti																",810.31,766.87,740.95,662.28,668.29,674.75,615.82,505.47,465.31,387.94
"Honduras																",2340.68,2378.52,2307.72,2096.2,1962.07,1899.55,1720.77,1547.26,1405.78,1298.94
"Hungary																",13613.6,12834.32,14048.88,13025.79,12967.17,15669.26,13842.61,11398.77,11161.72,10259.53
"Iceland																",47493.25,44258.84,45970.89,41620.07,40362.04,55229.61,68344.56,56097.12,56445.54,46921.13
