50|224.91|0.04|36
1|2416.59|1.38|110.47
8.3|2600.01|2.73|13.78
51|1135.6|1.09|13.87
1.4|10993.37|4.98|185.72
2|4251.57|4.07|14.15
8.2|1181.97|1.2|106.29
0.3|30440.85|17.03|2.62
0.6|36693.4|8.84|98.96
14|1045.03|3.86|100.48
2.1|21995.52|5.34|32.22
1.2|16275.18|21.67|1106.83
69|462.27|0.27|1082
0.8|12868.86|4.74|635.1
11|2378.37|5.98|47.98
0.7|35589.69|10.66|344.16
3|3831.59|1.43|12.1
14|570.69|0.32|70.26
21|1107.92|0.49|16.64
4|978.33|1.46|8.28
4.7|2619.75|4.08|74.72
33|4879.46|2.12|3.24
3.9|3596.22|1.82|22.27
3.5|22131.95|14.05|67.5
3.7|3353.56|6.01|70.95
12|371.5|0.08|47.62
38|119.46|0.03|298.35
52|1970.89|0.43|55.98
7.7|407.08|0.7|116.37
122|892.9|0.19|74.28
57|31979.87|0.22|37.38
0.3|318.48|17.26|3.52
117|454.66|0.06|6.4
27|6323.76|0.04|7.71
4.4|1508.67|3.76|21.4
6.2|2740.25|4.08|138.05
3.3|609.64|1.29|38.51
9.7|1362.2|0.16|324.49
38|4425.51|0.28|9.99
1.9|9365.74|1.66|82
3.8|3398.62|5.07|79.32
0.4|23932.49|2.22|105.64
0.4|11667.63|7.22|109.94
0.7|189.59|11.45|131.98
53|46487.51|0.02|23.96
0.7|867.68|9.36|127.38
45|5329.14|0.53|33.12
1.5|2421.1|1.62|93.77
9.1|2708.56|2.01|188.43
8.9|1071.32|2.15|54.4
1.2|2666.34|2.05|73.93
2.2|7276.08|1.07|285.96
8.9|8850.47|8.61|21.61
7.6|135.98|12.68|32.14
70|3332.91|0.07|74.51
4.1|37636.11|1.38|44.79
1.3|33874.74|12.83|17.16
1.5|5755.96|6.12|114.52
118|414.98|3.48|5.23
18|1207.37|0.23|137.82
6.9|34165.93|1.02|74.27
0.6|426.16|9.9|236.59
55|21955.1|0.35|91.59
0.7|5836.12|8.87|84.99
2.1|1860.99|2|301.93
3.3|387.37|0.9|120.17
50|370.93|0.14|38.52
62|1058.96|0.14|50.92
27|387.94|2.19|3.77
40|1298.94|0.22|330.88
4.6|10259.53|1.09|60.36
3|46921.13|5.68|112.78
1.4|640.6|7.68|2.91
52|1150.35|1.02|378.86
50|2649.91|1.51|123.25
2|1391.61|6.45|42.56
3.3|47631.06|4.33|60.18
1|19888.17|10.75|59.08
0.7|31174.56|8.67|314.65
0.8|929.89|8.22|196.12
0.6|3853.61|4.05|245.99
3.5|37688.72|9.91|350.51
0.7|2205.8|3.72|58.61
26|2874.29|11.53|5.56
17|467.38|0.22|60.51
21|1130.57|0.49|111.78
1.4|27437.98|29.33|121.57
21|433.24|1.15|26.61
96|418.17|0.25|24.52
8.6|6351.08|3.27|36.39
0.9|5424.22|4.35|377.64
57|149.06|0.19|33.06
9.2|6706.97|3.92|53.88
0.7|74970.92|24.6|176.87
64|245.67|0.1|30.55
21|280.18|0.08|131.6
6.4|4924.59|6.47|77.1
1|3853.33|2.14|1040
13|436.44|0.07|10.22
0.5|15109.05|6.42|1253.96
31|2517.69|1.69|289.3
34|598.21|0.5|2.97
1.3|5229.88|2.53|601.48
2.7|7115.12|3.8|55.69
15|2247.84|1.38|152.25
25|720.94|1.26|125.5
12|797.91|3.43|1.61
88|1955.14|1.44|67.43
86|332.88|0.09|26.1
42|213.13|0.25|75.88
18|3298.9|0.98|2.43
0.5|288.67|0.11|175.78
0.7|39954.64|10.85|482.28
5.8|25420.23|8.45|15.52
38|1091.51|0.83|44.12
93|234.91|0.06|10.26
1|645.76|0.71|149.36
0.8|57570.27|9.29|12.57
69|10115.04|11.43|7.91
2.4|652.02|0.88|194.93
6.1|8851.3|9.44|43.05
84|4604.47|1.78|43.86
5|661.13|0.76|13.12
10|1408.53|0.72|14.36
35|2448.14|1.17|21.31
2.4|1080.09|0.88|283.72
3.5|6681.18|7.97|124.64
0.2|18045.59|6.02|114.58
7.6|43346.86|58.66|63.06
17|3552.92|10.04|93.27
9.7|4102.37|4.52|8.79
22|236.63|11.12|357.88
7.6|10349.23|0.06|186.25
2.1|5449.33|4.7|267.97
4|4808.04|2.18|278.37
5.9|2350.86|2.03|63.18
1.8|703.66|0.9|155.97
13|10756.02|0.49|11.19
3|732.32|16.45|56.96
26|10173.57|0.48|179.29
0|293.85|8.93|67.48
80|27405.27|0.13|6047.41
2.2|10654.79|6.83|111.69
1|17260.9|7.21|99.16
0.6|819.31|7.88|16.36
10|4901.12|0.35|38.75
56|15921.94|9.65|496.17
1.1|24918.65|7.91|85.98
8.4|1074.66|0.64|306.62
23|550.75|0.29|16.4
1.3|3033.02|3.41|3.14
46|2522.86|0.94|63.65
0.6|42442.22|6.06|21.92
0.4|53255.98|5.46|186.98
15|311.42|0.38|47.63
21|348.05|0.12|42.83
3|2643.48|3.72|128.02
60|2787.77|5.49|80.16
7.8|484.09|0.18|64.74
1.1|356.83|0.26|99.81
1.8|2288.41|1.1|139.2
2.6|10290.52|23.88|251.57
1.1|3139.54|2.25|64.48
40|5855.54|3.37|87.02
19|1455.94|9.91|9.99
24|292.84|0.06|135.7
0.9|1367.35|7.24|81.91
0.8|37179.68|28.48|47.56
80|39824.76|8.99|247.96
0.3|41921.81|19.68|31.96
2.6|4117.31|1.69|18.99
15|465.12|4.65|60.8
14|1787.94|0.29|16.75
2.9|4273.44|5.77|29.83
28|606.9|1.11|262.64
17|696.05|0.95|37.75
28|530.55|0.18|15.77
19|451.17|0.74|33.26
